iter	Passed	Remaining
653	5091	2693
654	5100	2686
655	5107	2678
656	5115	2670
657	5122	2662
658	5131	2655
659	5140	2648
660	5149	2640
661	5155	2632
662	5163	2624
663	5170	2616
664	5182	2610
665	5188	2602
666	5197	2594
667	5204	2586
668	5211	2578
669	5217	2569
670	5225	2561
671	5232	2553
672	5239	2545
673	5248	2538
674	5256	2531
675	5264	2523
676	5271	2515
677	5280	2507
678	5286	2499
679	5295	2491
680	5302	2483
681	5309	2475
682	5317	2467
683	5326	2460
684	5332	2452
685	5340	2444
686	5350	2437
687	5358	2430
688	5365	2421
689	5373	2414
690	5380	2406
691	5387	2397
692	5395	2390
693	5401	2381
694	5409	2373
695	5415	2365
696	5425	2358
697	5431	2350
698	5440	2342
699	5449	2335
700	5458	2328
701	5465	2319
702	5475	2313
703	5481	2304
704	5490	2297
705	5497	2289
706	5504	2281
707	5511	2272
708	5518	2264
709	5525	2257
710	5532	2248
711	5541	2241
712	5551	2234
713	5558	2226
714	5567	2219
715	5576	2211
716	5584	2204
717	5591	2196
718	5597	2187
719	5605	2179
720	5612	2171
721	5620	2164
722	5627	2156
723	5636	2148
724	5643	2140
725	5651	2132
726	5660	2125
727	5670	2118
728	5676	2110
729	5686	2103
730	5692	2094
731	5700	2086
732	5707	2079
733	5715	2071
734	5722	2063
735	5730	2055
736	5737	2047
737	5744	2039
738	5752	2031
739	5758	2023
740	5767	2015
741	5776	2008
742	5785	2001
743	5792	1992
744	5799	1985
745	5805	1976
746	5814	1969
747	5821	1961
748	5830	1953
749	5837	1945
750	5846	1938
751	5853	1930
752	5861	1922
753	5870	1915
754	5879	1907
755	5886	1899
756	5893	1891
757	5900	1883
758	5906	1875
759	5915	1867
760	5921	1859
761	5931	1852
762	5938	1844
763	5946	1836
764	5953	1828
765	5963	1821
766	5971	1814
767	5981	1806
768	5990	1799
769	5996	1791
770	6003	1783
771	6011	1775
772	6018	1767
773	6027	1759
774	6034	1751
775	6043	1744
776	6049	1736
777	6059	1729
778	6066	1720
779	6075	1713
780	6084	1706
781	6093	1698
782	6100	1690
783	6109	1683
784	6116	1675
785	6125	1667
786	6132	1659
787	6141	1652
788	6148	1644
789	6157	1636
790	6163	1628
791	6173	1621
792	6179	1613
793	6187	1605
794	6196	1597
795	6205	1590
796	6212	1582
797	6220	1574
798	6227	1566
799	6235	1558
800	6241	1550
801	6251	1543
802	6257	1535
803	6267	1527
804	6273	1519
805	6282	1512
806	6288	1503
807	6295	1495
808	6305	1488
809	6314	1481
810	6321	1473
811	6330	1465
812	6337	1457
813	6345	1449
814	6352	1441
815	6364	1435
816	6370	1426
817	6378	1419
818	6384	1411
819	6391	1402
820	6399	1395
821	6407	1387
822	6415	1379
823	6422	1371
824	6430	1364
825	6437	1355
826	6446	1348
827	6452	1340
828	6461	1332
829	6467	1324
830	6475	1316
831	6481	1308
832	6489	1300
833	6498	1293
834	6508	1286
835	6515	1278
836	6526	1270
837	6532	1262
838	6541	1255
839	6548	1247
840	6555	1239
841	6562	1231
842	6569	1223
843	6576	1215
844	6583	1207
845	6591	1199
